ID;ID_MEDICO;VISITADO
677;846;NÃO
678;847;NÃO
679;848;NÃO
680;849;SIM
681;850;NÃO
682;851;NÃO
683;852;NÃO
684;853;NÃO
685;854;NÃO
686;855;SIM
687;1559;NÃO
688;856;NÃO
689;857;NÃO
690;858;NÃO
691;859;NÃO
692;860;NÃO
693;861;SIM
694;862;NÃO
695;863;SIM
696;864;NÃO
697;865;NÃO
698;866;NÃO
699;867;NÃO
700;868;SIM
701;869;NÃO
702;870;NÃO
703;871;NÃO
704;872;NÃO
705;873;NÃO
706;874;NÃO
707;875;SIM
708;876;NÃO
709;877;NÃO
710;878;SIM
711;879;NÃO
712;880;NÃO
713;881;NÃO
714;882;SIM
715;883;SIM
716;884;NÃO
717;885;SIM
718;886;SIM
719;887;NÃO
720;888;NÃO
721;889;NÃO
722;890;NÃO
723;891;SIM
724;892;NÃO
725;893;NÃO
726;894;NÃO
727;895;SIM
728;896;NÃO
729;897;SIM
730;898;NÃO
731;899;NÃO
732;900;NÃO
733;901;NÃO
734;902;NÃO
735;903;NÃO
736;904;NÃO
737;905;NÃO
738;906;NÃO
739;907;SIM
740;908;NÃO
741;909;NÃO
742;910;NÃO
743;911;NÃO
744;912;NÃO
745;913;NÃO
746;914;NÃO
747;915;NÃO
748;916;NÃO
749;917;NÃO
750;918;SIM
751;919;SIM
752;920;SIM
753;921;NÃO
754;922;NÃO
755;923;NÃO
756;924;NÃO
757;925;NÃO
758;926;NÃO
759;927;NÃO
760;928;NÃO
761;929;NÃO
762;930;SIM
763;932;NÃO
764;933;NÃO
765;934;SIM
766;935;NÃO
767;936;SIM
768;937;SIM
769;938;NÃO
770;939;SIM
771;940;NÃO
772;941;NÃO
773;942;NÃO
774;943;NÃO
775;944;NÃO
776;945;SIM
777;946;NÃO
778;947;NÃO
779;948;NÃO
780;949;NÃO
781;950;NÃO
782;951;NÃO
783;952;NÃO
784;953;NÃO
785;954;NÃO
786;955;SIM
787;956;SIM
788;957;SIM
789;958;SIM
790;959;SIM
791;960;NÃO
792;961;NÃO
793;962;NÃO
794;963;NÃO
795;964;NÃO
796;965;NÃO
797;966;NÃO
798;967;NÃO
799;968;NÃO
800;969;SIM
801;970;NÃO
802;971;NÃO
803;972;NÃO
804;973;NÃO
805;974;NÃO
806;975;NÃO
807;976;NÃO
808;977;NÃO
809;978;SIM
810;979;NÃO
811;980;NÃO
812;981;NÃO
813;982;NÃO
814;983;NÃO
815;984;NÃO
816;985;NÃO
817;986;SIM
818;987;NÃO
819;988;NÃO
820;989;SIM
821;990;NÃO
822;992;NÃO
823;993;SIM
824;994;NÃO
825;995;NÃO
826;997;NÃO
827;998;NÃO
828;999;NÃO
829;1000;SIM
830;1001;SIM
831;1002;SIM
832;1003;SIM
833;1004;NÃO
834;1005;SIM
835;1006;NÃO
836;1007;NÃO
837;1008;SIM
838;1009;NÃO
839;1010;SIM
840;1011;NÃO
841;1012;NÃO
842;1016;NÃO
843;1017;NÃO
844;1018;NÃO
845;1019;SIM
846;1020;SIM
847;1021;NÃO
848;1022;NÃO
849;1023;SIM
